Feature,VIF
Heating_GasA,1098.9796956392445
Condition2_Norm,786.4339494753144
BsmtHalfBath,779.5899447494593
Street_Pave,474.00577937449117
Functional,176.73083562238955
BsmtFullBath,168.9189235493879
ExterQual,134.03671499491267
ExterCond,103.37337036071615
KitchenAbvGr,92.4300207241797
KitchenQual,81.97578112792858
BsmtQual,76.05958398076746
Alley_None,43.91791106661748
HeatingQC,42.66445975857518
Condition1_Norm,38.42852783614849
CentralAir_Y,34.528922531991974
BedroomAbvGr,34.309524746225385
lg_BsmtUnfSF,32.790009045312175
LandContour_Lvl,32.22806465534953
tot_bath,28.06969402345399
PavedDrive_Y,26.54282997729635
GarageType_Attchd,23.86903563027415
SaleType_WD,23.2826130346522
Fireplaces,21.538383165507625
Electrical_SBrkr,20.263713815679214
MSZoning_RL,19.426558316171015
SaleCondition_Normal,16.86656638625594
Heating_GasW,13.694661251517946
GarageFinish,13.66140021503148
Foundation_PConc,11.830243961189083
tot_porch,11.770420290712119
lg_tot_porch,11.442136557004961
LotArea,10.907527934307648
Foundation_CBlock,10.11993953397397
GarageType_Detchd,8.622096927664504
BsmtUnfSF,8.417099305386898
Neighborhood_NAmes,7.914006220402124
BsmtExposure,6.708349754294575
RoofStyle_Gable,6.692110580648887
Heating_Grav,6.523011873957605
MoSold_6,6.198246917613156
LotConfig_Inside,6.10471608874872
MoSold_7,5.952148807786701
Neighborhood_OldTown,5.250578798618874
MoSold_5,5.244821446104487
2ndFlrSF,4.926008960316382
Condition2_Feedr,4.884582801161414
Heating_Wall,4.6175410007519355
LotShape_Reg,4.46423326848157
GarageType_BuiltIn,4.193175247748962
BldgType_Duplex,4.153069159888353
MoSold_4,4.000892609766979
Neighborhood_CollgCr,3.9448105966190945
FireplaceQu,3.8638652036160543
Exterior1st_Plywood,3.8142819422331975
Neighborhood_Edwards,3.802165293511472
MasVnrType_BrkFace,3.73535207456002
Condition2_RRAe,3.7341463494851523
Exterior2nd_Plywood,3.6586915034438494
Exterior2nd_Brk Cmn,3.6248448214442717
Condition1_Feedr,3.6087940679400425
MoSold_8,3.5914205317130725
MasVnrArea,3.589483106201854
RoofStyle_Shed,3.57864412244675
Neighborhood_Sawyer,3.357534466653617
Exterior2nd_Stucco,3.3372778884141243
MoSold_3,3.2666455545222064
Neighborhood_NWAmes,3.255940896421661
EnclosedPorch,3.08217537845901
Exterior1st_Stucco,3.056667483871031
MoSold_10,3.006891350140343
Neighborhood_Gilbert,2.996980272860005
Foundation_Slab,2.9581394713094022
Neighborhood_BrkSide,2.8653500979994786
Neighborhood_NPkVill,2.855672216919787
Neighborhood_Crawfor,2.835268453963919
Neighborhood_NridgHt,2.820803859567179
Heating_OthW,2.7365232080849666
MoSold_11,2.695034120997995
Neighborhood_IDOTRR,2.5596139297755713
Alley_Pave,2.533484351902979
Neighborhood_SawyerW,2.5304950740236976
Exterior1st_BrkFace,2.4199818585806194
MoSold_9,2.4164797747054063
Neighborhood_Mitchel,2.399405665493659
YrSold_2009,2.395856515226686
BldgType_TwnhsE,2.395295534951499
LandContour_Low,2.343248510204378
ScreenPorch,2.3338821926174
LandContour_HLS,2.32815661856078
MoSold_12,2.3211046046508024
YrSold_2007,2.31642256653163
Condition2_RRNn,2.2863837654349046
BldgType_Twnhs,2.270435168610655
WoodDeckSF,2.2640540791101715
YrSold_2008,2.25591442941187
Exterior1st_BrkComm,2.2432074755908804
Neighborhood_MeadowV,2.2106933961874136
Exterior2nd_BrkFace,2.1935132173984964
Neighborhood_ClearCr,2.179467483490864
Neighborhood_NoRidge,2.1743540123729637
Neighborhood_SWISU,2.168995847369908
Condition1_RRAn,2.157274557305867
MoSold_2,2.1487217164319055
MasVnrType_Stone,2.0991402987462884
RoofMatl_WdShake,2.0699440722790103
Neighborhood_Timber,2.0403221076463525
LandSlope_Sev,1.997331703177942
BldgType_2fmCon,1.9680390408142918
YrSold_2010,1.932803523511667
Neighborhood_BrDale,1.9131600091696408
Exterior2nd_AsphShn,1.865602575503423
Exterior2nd_Wd Shng,1.853757705940302
LowQualFinSF,1.8473744108304035
Exterior1st_CemntBd,1.8461115354664561
Exterior1st_WdShing,1.8344458990785135
SaleCondition_Alloca,1.8305852158515934
MiscVal,1.827447530737708
Condition1_PosN,1.8181601202507232
LotConfig_CulDSac,1.805814884759416
LandSlope_Mod,1.797440527428306
GarageType_Basment,1.7775220761304211
Neighborhood_StoneBr,1.769736483133793
Exterior1st_AsphShn,1.7564396794563273
Condition2_PosN,1.7017895328296613
HouseStyle_2.5Fin,1.6950519709964833
Exterior1st_MetalSd,1.6933771543543499
lg_MiscVal,1.687939852884658
Fence,1.6715994846510447
Condition2_RRAn,1.645590552906811
Electrical_FuseF,1.6376710629719358
PavedDrive_P,1.6094263238644635
RoofStyle_Mansard,1.5955354364768342
SaleCondition_AdjLand,1.5926189286710632
HouseStyle_SFoyer,1.584116263200193
RoofMatl_Tar&Grv,1.5840076778857175
Condition1_RRAe,1.54631112272468
MSZoning_RH,1.542528216121859
HouseStyle_SLvl,1.5269801690932499
3SsnPorch,1.5130350766862424
Exterior2nd_Stone,1.4998404891266035
Neighborhood_Veenker,1.4962726286337071
Exterior1st_Stone,1.4905438771301953
Electrical_FuseP,1.4794287755048694
Condition1_RRNn,1.4685172647340394
Condition1_PosA,1.399579992457826
GarageType_CarPort,1.3899189924941913
LotConfig_FR2,1.3873211347525098
SaleCondition_Family,1.384471993484013
RoofMatl_Metal,1.3655422790975111
HouseStyle_2.5Unf,1.365372369060178
Exterior2nd_ImStucc,1.3496774887672423
SaleType_ConLD,1.3271297779862652
RoofStyle_Gambrel,1.319009805377278
Foundation_Stone,1.3172996437469349
RoofMatl_Membran,1.3155416624162948
LotShape_IR2,1.2951911815060313
RoofMatl_WdShngl,1.2813642442997295
HouseStyle_1.5Unf,1.2492585942852727
Foundation_Wood,1.2469438064930374
SaleType_ConLw,1.236805170572438
PoolArea,1.2345149715537023
Utilities_NoSeWa,1.2311422383088482
LotShape_IR3,1.2224421243106458
Exterior1st_ImStucc,1.221917655628761
LotConfig_FR3,1.2047985209316638
SaleType_Con,1.1847453322805221
Condition1_RRNe,1.1823452157577898
SaleType_ConLI,1.1730770873836918
MiscFeature_Othr,1.1709627499259037
Electrical_Mix,1.1679409262727587
SaleType_CWD,1.160786555192391
Neighborhood_Blueste,1.1531799643224978
SaleType_Oth,1.1277645130238299
Exterior1st_CBlock,1.1191701817311048
Electrical_None,1.1133502718446413
RoofMatl_Roll,1.1036274382667004
Exterior2nd_Other,1.091269810191897
